bucket,market_count,average_predicted_probability,observed_yes_frequency,percentage_point_gap
"[0.0, 0.2)",5693,0.03257219392236079,0.037238714210433864,0.004666520288073073
"[0.2, 0.4)",2018,0.30718681863230923,0.3280475718533201,0.020860753221010886
"[0.4, 0.6)",3490,0.49659441260744985,0.48681948424068766,-0.009774928366762192
"[0.6, 0.8)",1447,0.6889982722874913,0.7304768486523843,0.04147857636489294
"[0.8, 1.0]",2030,0.9432463054187192,0.9576354679802955,0.014389162561576296
