bucket,lower_probability,upper_probability,market_count,event_count,average_predicted_probability,observed_yes_frequency,percentage_point_gap
"[0.0, 0.2)",0.0,0.2,38153,8685,0.03640657353288077,0.0299845359473698,-0.0064220375855109715
"[0.2, 0.4)",0.2,0.4,13025,6542,0.2866137811900192,0.2532053742802303,-0.03340840690978886
"[0.4, 0.6)",0.4,0.6,14139,6223,0.49353384256312327,0.39769432067331495,-0.09583952188980832
"[0.6, 0.8)",0.6,0.8,3750,2827,0.6900968,0.7165333333333334,0.0264365333333334
"[0.8, 1.0]",0.8,1.0,5969,3134,0.9463633774501592,0.9530909700117273,0.006727592561568074
