platform,n,baseline,brier_market,brier_baseline,brier_improvement,brier_improvement_pct,log_loss_market,log_loss_baseline,log_loss_improvement,log_loss_improvement_pct
kalshi,288,always_50,0.12460547569444445,0.25,0.12539452430555553,0.5015780972222221,0.3783106449350247,0.6931471805599453,0.3148365356249206,0.4542131086367344
polymarket,404,always_50,0.11434965099009901,0.25,0.13565034900990097,0.5426013960396039,0.3413737645218208,0.6931471805599452,0.3517734160381244,0.5075017628347723
kalshi,288,category_base_rate_in_sample,0.12460547569444445,0.2064105108526945,0.08180503515825004,0.39632204203317173,0.3783106449350247,0.6044059163278289,0.22609527139280422,0.3740785212138302
polymarket,404,category_base_rate_in_sample,0.11434965099009901,0.21897378204965706,0.10462413105955805,0.4777929580438641,0.3413737645218208,0.6270715795616798,0.285697815039859,0.45560638426566946
