platform,forecast_source,n,brier,log_loss,avg_forecast,observed_yes_rate,median_days_to_resolution,median_volume
kalshi,snapshot_fallback,288,0.12460547569444445,0.3783106449350247,0.34424652777777776,0.2847222222222222,1.4627651524537035,198028.5
polymarket,history,404,0.11434965099009901,0.3413737645218208,0.3619851485148515,0.33663366336633666,9.20540711837963,763810.487867
