duration_bucket,n,brier,log_loss,avg_forecast,observed_yes_rate,median_days_to_resolution,median_volume
1-7 days,223,0.11370544058295964,0.3525303074359761,0.39433856502242154,0.3901345291479821,2.0777119962268515,472276.6394790001
30+ days,157,0.029134019108280257,0.10367993553148394,0.1585796178343949,0.08917197452229299,226.82256677873843,793502.437988002
7-30 days,68,0.17465612500000002,0.5069116082967525,0.5120735294117646,0.4117647058823529,10.261930413217591,783937.0288640001
<1 day,99,0.12452363888888889,0.3789911725934815,0.36368181818181816,0.35353535353535354,0.7619812278703704,462032.0
unknown,145,0.19275051724137932,0.551629949796574,0.4256896551724138,0.3724137931034483,,232046.24
