group,n,baseline,brier_market,brier_baseline,brier_improvement,brier_improvement_pct,log_loss_market,log_loss_baseline,log_loss_improvement,log_loss_improvement_pct
overall,692,always_50,0.1186179710982659,0.25,0.13138202890173412,0.5255281156069365,0.3567463390290502,0.6931471805599454,0.3364008415308952,0.4853238258274965
overall,692,category_base_rate_in_sample,0.1186179710982659,0.2137451373896495,0.09512716629138361,0.4450494989178177,0.3567463390290502,0.6176384711637766,0.2608921321347264,0.4224026583757713
