platform,category,n,brier,log_loss,avg_forecast,observed_yes_rate,median_days_to_resolution,median_volume
kalshi,elections,1,0.0004000000000000007,0.020202707317519466,0.98,1.0,,107751.0
kalshi,sports,287,0.12503824738675956,0.3795584077838662,0.3420313588850174,0.28222996515679444,1.4627651524537035,200618.0
polymarket,elections,42,0.0028157321428571433,0.029832036056721273,0.13017857142857142,0.11904761904761904,37.08087328125,1881317.5346495048
polymarket,sports,362,0.12729005041436464,0.37751948992384887,0.38887983425414363,0.36187845303867405,9.205147228726851,712342.3652730004
