category,n,baseline,brier_market,brier_baseline,brier_improvement,brier_improvement_pct,log_loss_market,log_loss_baseline,log_loss_improvement,log_loss_improvement_pct
elections,43,always_50,0.0027595523255813954,0.25,0.2472404476744186,0.9889617906976744,0.029608098179065415,0.6931471805599452,0.6635390823808798,0.9572845435869088
sports,649,always_50,0.12629426078582437,0.25,0.12370573921417563,0.4948229568567025,0.37842113772943436,0.6931471805599453,0.3147260428305109,0.4540537012301856
elections,43,category_base_rate_in_sample,0.0027595523255813954,0.1200648999459167,0.1173053476203353,0.9770161610360361,0.029608098179065415,0.40411826492136166,0.37451016674229626,0.9267340757665905
sports,649,category_base_rate_in_sample,0.12629426078582437,0.21995199441596772,0.09365773363014335,0.4258098858290877,0.37842113772943436,0.6317854185727502,0.2533642808433158,0.40102900984274753
