platform,n,brier,brier_ci_lower,brier_ci_upper,log_loss,log_loss_ci_lower,log_loss_ci_upper
kalshi,288,0.12460547569444445,0.10465524348958334,0.14407745520833332,0.3783106449350247,0.3284963323671935,0.4284839273179428
polymarket,404,0.11434965099009901,0.10039044984529703,0.1290787472617574,0.3413737645218208,0.30703896868451497,0.3790637787629595
